image,steering
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_14_27_961.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_42_071.jpg,0.05
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_12_537.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_14_53_419.jpg,0.05
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_08_320.jpg,0.01268218
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_14_23_308.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_46_609.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_48_376.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_55_184.jpg,-0.15
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_14_36_013.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_05_556.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_39_841.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_56_936.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_11_45_333.jpg,-0.148133
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_25_144.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_38_783.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_30_658.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_07_394.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_47_527.jpg,-0.25
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_23_573.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_05_487.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_29_467.jpg,-0.05
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_46_878.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_16_22_294.jpg,0.139918
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_26_477.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_22_518.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_13_747.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_10_964.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_35_118.jpg,-0.05
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_12_175.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_28_993.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_50_722.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_24_641.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_14_40_169.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_01_574.jpg,-0.004531286
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_39_143.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_11_56_560.jpg,0.1286115
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_16_492.jpg,0.15
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_58_170.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_14_20_771.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_20_522.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_16_26_926.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_16_12_243.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_34_681.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_06_850.jpg,-0.15
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_14_25_331.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_09_853.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_45_549.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_14_47_365.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_14_44_477.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_16_01_616.jpg,0.15
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_54_763.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_29_771.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_14_32_565.jpg,0.25
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_40_105.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_09_254.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_04_173.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_11_57_256.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_14_56_727.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_50_795.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_29_249.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_08_792.jpg,-0.25
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_07_136.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_52_950.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_52_256.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_56_159.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_13_391.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_16_27_965.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_16_28_531.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_56_451.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_14_49_384.jpg,0.05
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_46_875.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_30_692.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_31_566.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_32_249.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_27_949.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_45_222.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_14_59_348.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_02_286.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_08_461.jpg,0.15
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_16_16_426.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_03_146.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_14_52_928.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_04_732.jpg,-0.1
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_14_41_776.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_14_49_173.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_33_951.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_14_20_140.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_16_339.jpg,0.07929783
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_55_784.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_31_777.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_59_024.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_34_973.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_03_128.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_16_13_163.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_14_50_640.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_04_499.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_14_26_757.jpg,0.1
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_48_158.jpg,-0.6287026
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_03_498.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_13_18_985.jpg,-0.1
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_49_384.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_27_885.jpg,-0.45
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_30_112.jpg,0.2
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_00_312.jpg,0
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_12_51_160.jpg,-0.9283149
D:\1document\培训课程\人工智能和数字化\20260130-31德赛西威（二期）AI\基于深度学习的世界状态的感知预测决策与控制\tutorial_runs\behavioral_cloning_data\IMG\center_2018_07_16_17_15_43_394.jpg,0
